Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection A_mwrm,Total Triangles A_mwrm,Colored CA VTK Path
freesurfer,209228,rh,pial,NA,NA,NA,4,259387,NA
freesurfer,208125,rh,pial,NA,NA,NA,6,259298,NA
freesurfer,205826,rh,pial,NA,NA,NA,45,264165,NA
freesurfer,202719,rh,pial,NA,NA,NA,19,261393,NA
freesurfer,204622,rh,pial,NA,NA,NA,11,267255,NA
freesurfer,201111,rh,pial,NA,NA,NA,12,261805,NA
freesurfer,200109,rh,pial,NA,NA,NA,15,264212,NA
freesurfer,209935,rh,pial,NA,NA,NA,23,265205,NA
freesurfer,205725,rh,white,NA,NA,NA,0,199960,NA
freesurfer,208428,rh,white,NA,NA,NA,0,201887,NA
freesurfer,204016,rh,pial,NA,NA,NA,23,265311,NA
freesurfer,200917,rh,pial,NA,NA,NA,13,267248,NA
freesurfer,201515,rh,pial,NA,NA,NA,14,266559,NA
freesurfer,210011,rh,pial,NA,NA,NA,16,273877,NA
freesurfer,202113,rh,pial,NA,NA,NA,12,272481,NA
freesurfer,206222,rh,pial,NA,NA,NA,15,279712,NA
freesurfer,203923,rh,pial,NA,NA,NA,12,274543,NA
freesurfer,205119,rh,pial,NA,NA,NA,34,279730,NA
freesurfer,204319,rh,pial,NA,NA,NA,9,287405,NA
freesurfer,208024,rh,white,NA,NA,NA,0,215962,NA
freesurfer,204420,rh,white,NA,NA,NA,0,216477,NA
freesurfer,201717,rh,pial,NA,NA,NA,30,289963,NA
freesurfer,209329,rh,white,NA,NA,NA,0,220570,NA
freesurfer,207628,rh,pial,NA,NA,NA,30,291245,NA
freesurfer,201818,rh,white,NA,NA,NA,0,220128,NA
freesurfer,207123,rh,pial,NA,NA,NA,11,300197,NA
freesurfer,209834,rh,white,NA,NA,NA,0,226431,NA
freesurfer,204521,rh,white,NA,NA,NA,0,226558,NA
freesurfer,205220,rh,white,NA,NA,NA,0,232919,NA
freesurfer,208327,rh,pial,NA,NA,NA,26,324310,NA
freesurfer,203721,rh,white,NA,NA,NA,4,235511,NA
freesurfer,209127,rh,white,NA,NA,NA,0,236548,NA
freesurfer,200210,rh,pial,NA,NA,NA,20,311072,NA
freesurfer,208226,rh,white,NA,NA,NA,0,241742,NA
freesurfer,200008,rh,white,NA,NA,NA,0,236545,NA
freesurfer,201414,rh,white,NA,NA,NA,0,239516,NA
freesurfer,203418,rh,white,NA,NA,NA,0,242032,NA
freesurfer,207426,rh,white,NA,NA,NA,0,245096,NA
freesurfer,200311,rh,white,NA,NA,NA,0,254010,NA
freesurfer,200614,rh,white,NA,NA,NA,0,252250,NA
freesurfer,209228,rh,white,NA,NA,NA,0,260079,NA
freesurfer,208125,rh,white,NA,NA,NA,0,259876,NA
freesurfer,205826,rh,white,NA,NA,NA,0,264432,NA
freesurfer,202719,rh,white,NA,NA,NA,0,262001,NA
freesurfer,204622,rh,white,NA,NA,NA,0,267715,NA
freesurfer,209935,rh,white,NA,NA,NA,0,264836,NA
freesurfer,201111,rh,white,NA,NA,NA,0,263065,NA
freesurfer,200109,rh,white,NA,NA,NA,0,265395,NA
freesurfer,204016,rh,white,NA,NA,NA,0,265162,NA
freesurfer,201515,rh,white,NA,NA,NA,0,266505,NA
freesurfer,200917,rh,white,NA,NA,NA,0,267999,NA
freesurfer,210011,rh,white,NA,NA,NA,0,273694,NA
freesurfer,202113,rh,white,NA,NA,NA,0,272201,NA
freesurfer,206222,rh,white,NA,NA,NA,0,281199,NA
freesurfer,203923,rh,white,NA,NA,NA,0,274927,NA
freesurfer,205119,rh,white,NA,NA,NA,0,280701,NA
freesurfer,204319,rh,white,NA,NA,NA,0,288554,NA
freesurfer,201717,rh,white,NA,NA,NA,0,290859,NA
freesurfer,207628,rh,white,NA,NA,NA,0,291043,NA
freesurfer,207123,rh,white,NA,NA,NA,0,299826,NA
freesurfer,208327,rh,white,NA,NA,NA,0,323238,NA
freesurfer,200210,rh,white,NA,NA,NA,0,311869,NA
freesurfer,210415,lh,pial,NA,NA,NA,21,215780,NA
freesurfer,210617,lh,pial,NA,NA,NA,20,264657,NA
freesurfer,211316,lh,pial,NA,NA,NA,15,217172,NA
freesurfer,211114,lh,pial,NA,NA,NA,25,261579,NA
freesurfer,211922,lh,pial,NA,NA,NA,28,248413,NA
freesurfer,211215,lh,pial,NA,NA,NA,9,301464,NA
freesurfer,211417,lh,pial,NA,NA,NA,22,251670,NA
freesurfer,212318,lh,pial,NA,NA,NA,9,227667,NA
freesurfer,212217,lh,pial,NA,NA,NA,22,233494,NA
freesurfer,210415,lh,white,NA,NA,NA,0,215911,NA
freesurfer,212116,lh,pial,NA,NA,NA,7,242693,NA
freesurfer,211720,lh,pial,NA,NA,NA,11,301469,NA
freesurfer,212015,lh,pial,NA,NA,NA,18,276886,NA
freesurfer,212419,lh,pial,NA,NA,NA,22,251075,NA
freesurfer,212823,lh,pial,NA,NA,NA,9,267381,NA
freesurfer,214019,lh,pial,NA,NA,NA,19,225845,NA
freesurfer,214221,lh,pial,NA,NA,NA,25,234139,NA
freesurfer,211316,lh,white,NA,NA,NA,0,215570,NA
freesurfer,210617,lh,white,NA,NA,NA,0,264138,NA
freesurfer,213421,lh,pial,NA,NA,NA,13,273963,NA
freesurfer,211114,lh,white,NA,NA,NA,0,261352,NA
freesurfer,214625,lh,pial,NA,NA,NA,27,261835,NA
freesurfer,214524,lh,pial,NA,NA,NA,19,266258,NA
freesurfer,221319,lh,pial,NA,NA,NA,25,228396,NA
freesurfer,221218,lh,pial,NA,NA,NA,31,237024,NA
freesurfer,217429,lh,pial,NA,NA,NA,22,236677,NA
freesurfer,217126,lh,pial,NA,NA,NA,11,250568,NA
freesurfer,211922,lh,white,NA,NA,NA,0,247729,NA
freesurfer,214726,lh,pial,NA,NA,NA,7,261003,NA
freesurfer,224022,lh,pial,NA,NA,NA,4,215075,NA
freesurfer,220721,lh,pial,NA,NA,NA,13,268705,NA
freesurfer,212318,lh,white,NA,NA,NA,2,227231,NA
freesurfer,210415,rh,pial,NA,NA,NA,10,213261,NA
freesurfer,211417,lh,white,NA,NA,NA,0,251112,NA
freesurfer,228434,lh,pial,NA,NA,NA,18,228955,NA
freesurfer,212217,lh,white,NA,NA,NA,0,233035,NA
freesurfer,231928,lh,pial,NA,NA,NA,32,239045,NA
freesurfer,214423,lh,pial,NA,NA,NA,21,322186,NA
