Project,subject_id,Hemisphere,Intersections White-Pial,Total Triangles White,Total Triangles Pial,File white,File pial
freesurfer,204319,lh,0,284477,285244,./freesurfer_204319_A_mwrm_lh_white.stl,./freesurfer_204319_A_mwrm_lh_pial.stl
freesurfer,209127,rh,0,236548,236530,./freesurfer_209127_A_mwrm_rh_white.stl,./freesurfer_209127_A_mwrm_rh_pial.stl
freesurfer,208226,rh,16,241742,241232,./freesurfer_208226_A_mwrm_rh_white.stl,./freesurfer_208226_A_mwrm_rh_pial.stl
freesurfer,200008,rh,1,236545,236352,./freesurfer_200008_A_mwrm_rh_white.stl,./freesurfer_200008_A_mwrm_rh_pial.stl
freesurfer,201717,lh,5,284063,284274,./freesurfer_201717_A_mwrm_lh_white.stl,./freesurfer_201717_A_mwrm_lh_pial.stl
freesurfer,201414,rh,7,239516,239466,./freesurfer_201414_A_mwrm_rh_white.stl,./freesurfer_201414_A_mwrm_rh_pial.stl
freesurfer,207628,lh,88,293310,294307,./freesurfer_207628_A_mwrm_lh_white.stl,./freesurfer_207628_A_mwrm_lh_pial.stl
freesurfer,203418,rh,7,242032,242010,./freesurfer_203418_A_mwrm_rh_white.stl,./freesurfer_203418_A_mwrm_rh_pial.stl
freesurfer,207123,lh,0,299934,301354,./freesurfer_207123_A_mwrm_lh_white.stl,./freesurfer_207123_A_mwrm_lh_pial.stl
freesurfer,207426,rh,0,245096,244962,./freesurfer_207426_A_mwrm_rh_white.stl,./freesurfer_207426_A_mwrm_rh_pial.stl
freesurfer,200311,rh,0,254010,253575,./freesurfer_200311_A_mwrm_rh_white.stl,./freesurfer_200311_A_mwrm_rh_pial.stl
freesurfer,200614,rh,5,252250,251825,./freesurfer_200614_A_mwrm_rh_white.stl,./freesurfer_200614_A_mwrm_rh_pial.stl
freesurfer,209228,rh,0,260079,259387,./freesurfer_209228_A_mwrm_rh_white.stl,./freesurfer_209228_A_mwrm_rh_pial.stl
freesurfer,208327,lh,8,312386,313229,./freesurfer_208327_A_mwrm_lh_white.stl,./freesurfer_208327_A_mwrm_lh_pial.stl
freesurfer,208125,rh,0,259876,259298,./freesurfer_208125_A_mwrm_rh_white.stl,./freesurfer_208125_A_mwrm_rh_pial.stl
freesurfer,200210,lh,87,310749,310679,./freesurfer_200210_A_mwrm_lh_white.stl,./freesurfer_200210_A_mwrm_lh_pial.stl
freesurfer,205826,rh,0,264432,264165,./freesurfer_205826_A_mwrm_rh_white.stl,./freesurfer_205826_A_mwrm_rh_pial.stl
freesurfer,202719,rh,14,262001,261393,./freesurfer_202719_A_mwrm_rh_white.stl,./freesurfer_202719_A_mwrm_rh_pial.stl
freesurfer,204622,rh,0,267715,267255,./freesurfer_204622_A_mwrm_rh_white.stl,./freesurfer_204622_A_mwrm_rh_pial.stl
freesurfer,209935,rh,32,264836,265205,./freesurfer_209935_A_mwrm_rh_white.stl,./freesurfer_209935_A_mwrm_rh_pial.stl
freesurfer,201111,rh,5,263065,261805,./freesurfer_201111_A_mwrm_rh_white.stl,./freesurfer_201111_A_mwrm_rh_pial.stl
freesurfer,200109,rh,37,265395,264212,./freesurfer_200109_A_mwrm_rh_white.stl,./freesurfer_200109_A_mwrm_rh_pial.stl
freesurfer,204016,rh,23,265162,265311,./freesurfer_204016_A_mwrm_rh_white.stl,./freesurfer_204016_A_mwrm_rh_pial.stl
freesurfer,201515,rh,3,266505,266559,./freesurfer_201515_A_mwrm_rh_white.stl,./freesurfer_201515_A_mwrm_rh_pial.stl
freesurfer,200917,rh,1,267999,267248,./freesurfer_200917_A_mwrm_rh_white.stl,./freesurfer_200917_A_mwrm_rh_pial.stl
freesurfer,210011,rh,15,273694,273877,./freesurfer_210011_A_mwrm_rh_white.stl,./freesurfer_210011_A_mwrm_rh_pial.stl
freesurfer,202113,rh,0,272201,272481,./freesurfer_202113_A_mwrm_rh_white.stl,./freesurfer_202113_A_mwrm_rh_pial.stl
freesurfer,206222,rh,1,281199,279712,./freesurfer_206222_A_mwrm_rh_white.stl,./freesurfer_206222_A_mwrm_rh_pial.stl
freesurfer,203923,rh,48,274927,274543,./freesurfer_203923_A_mwrm_rh_white.stl,./freesurfer_203923_A_mwrm_rh_pial.stl
freesurfer,205119,rh,0,280701,279730,./freesurfer_205119_A_mwrm_rh_white.stl,./freesurfer_205119_A_mwrm_rh_pial.stl
freesurfer,204319,rh,0,288554,287405,./freesurfer_204319_A_mwrm_rh_white.stl,./freesurfer_204319_A_mwrm_rh_pial.stl
freesurfer,201717,rh,0,290859,289963,./freesurfer_201717_A_mwrm_rh_white.stl,./freesurfer_201717_A_mwrm_rh_pial.stl
freesurfer,207628,rh,9,291043,291245,./freesurfer_207628_A_mwrm_rh_white.stl,./freesurfer_207628_A_mwrm_rh_pial.stl
freesurfer,207123,rh,0,299826,300197,./freesurfer_207123_A_mwrm_rh_white.stl,./freesurfer_207123_A_mwrm_rh_pial.stl
freesurfer,208327,rh,45,323238,324310,./freesurfer_208327_A_mwrm_rh_white.stl,./freesurfer_208327_A_mwrm_rh_pial.stl
freesurfer,200210,rh,27,311869,311072,./freesurfer_200210_A_mwrm_rh_white.stl,./freesurfer_200210_A_mwrm_rh_pial.stl
freesurfer,210415,lh,90,215911,215780,./freesurfer_210415_A_mwrm_lh_white.stl,./freesurfer_210415_A_mwrm_lh_pial.stl
freesurfer,211316,lh,0,215570,217172,./freesurfer_211316_A_mwrm_lh_white.stl,./freesurfer_211316_A_mwrm_lh_pial.stl
freesurfer,210415,rh,25,213540,213261,./freesurfer_210415_A_mwrm_rh_white.stl,./freesurfer_210415_A_mwrm_rh_pial.stl
freesurfer,210617,lh,10,264138,264657,./freesurfer_210617_A_mwrm_lh_white.stl,./freesurfer_210617_A_mwrm_lh_pial.stl
freesurfer,212318,lh,0,227231,227667,./freesurfer_212318_A_mwrm_lh_white.stl,./freesurfer_212318_A_mwrm_lh_pial.stl
freesurfer,211114,lh,29,261352,261579,./freesurfer_211114_A_mwrm_lh_white.stl,./freesurfer_211114_A_mwrm_lh_pial.stl
freesurfer,211316,rh,13,210662,211458,./freesurfer_211316_A_mwrm_rh_white.stl,./freesurfer_211316_A_mwrm_rh_pial.stl
freesurfer,211922,lh,4,247729,248413,./freesurfer_211922_A_mwrm_lh_white.stl,./freesurfer_211922_A_mwrm_lh_pial.stl
freesurfer,212217,lh,0,233035,233494,./freesurfer_212217_A_mwrm_lh_white.stl,./freesurfer_212217_A_mwrm_lh_pial.stl
freesurfer,214019,lh,38,225589,225845,./freesurfer_214019_A_mwrm_lh_white.stl,./freesurfer_214019_A_mwrm_lh_pial.stl
freesurfer,211417,lh,99,251112,251670,./freesurfer_211417_A_mwrm_lh_white.stl,./freesurfer_211417_A_mwrm_lh_pial.stl
freesurfer,212116,lh,59,242525,242693,./freesurfer_212116_A_mwrm_lh_white.stl,./freesurfer_212116_A_mwrm_lh_pial.stl
freesurfer,214221,lh,95,233481,234139,./freesurfer_214221_A_mwrm_lh_white.stl,./freesurfer_214221_A_mwrm_lh_pial.stl
freesurfer,212419,lh,29,250994,251075,./freesurfer_212419_A_mwrm_lh_white.stl,./freesurfer_212419_A_mwrm_lh_pial.stl
freesurfer,224022,lh,0,214132,215075,./freesurfer_224022_A_mwrm_lh_white.stl,./freesurfer_224022_A_mwrm_lh_pial.stl
freesurfer,221319,lh,17,227956,228396,./freesurfer_221319_A_mwrm_lh_white.stl,./freesurfer_221319_A_mwrm_lh_pial.stl
freesurfer,228434,lh,653,227367,228955,./freesurfer_228434_A_mwrm_lh_white.stl,./freesurfer_228434_A_mwrm_lh_pial.stl
freesurfer,221218,lh,23,236217,237024,./freesurfer_221218_A_mwrm_lh_white.stl,./freesurfer_221218_A_mwrm_lh_pial.stl
freesurfer,217429,lh,20,235776,236677,./freesurfer_217429_A_mwrm_lh_white.stl,./freesurfer_217429_A_mwrm_lh_pial.stl
freesurfer,212318,rh,0,232285,231263,./freesurfer_212318_A_mwrm_rh_white.stl,./freesurfer_212318_A_mwrm_rh_pial.stl
freesurfer,210617,rh,45,265892,265620,./freesurfer_210617_A_mwrm_rh_white.stl,./freesurfer_210617_A_mwrm_rh_pial.stl
freesurfer,212823,lh,114,268002,267381,./freesurfer_212823_A_mwrm_lh_white.stl,./freesurfer_212823_A_mwrm_lh_pial.stl
freesurfer,211215,lh,37,301375,301464,./freesurfer_211215_A_mwrm_lh_white.stl,./freesurfer_211215_A_mwrm_lh_pial.stl
freesurfer,212015,lh,17,277007,276886,./freesurfer_212015_A_mwrm_lh_white.stl,./freesurfer_212015_A_mwrm_lh_pial.stl
freesurfer,231928,lh,28,238236,239045,./freesurfer_231928_A_mwrm_lh_white.stl,./freesurfer_231928_A_mwrm_lh_pial.stl
freesurfer,212217,rh,0,234781,235172,./freesurfer_212217_A_mwrm_rh_white.stl,./freesurfer_212217_A_mwrm_rh_pial.stl
freesurfer,211922,rh,5,246862,245915,./freesurfer_211922_A_mwrm_rh_white.stl,./freesurfer_211922_A_mwrm_rh_pial.stl
freesurfer,211114,rh,21,261872,261690,./freesurfer_211114_A_mwrm_rh_white.stl,./freesurfer_211114_A_mwrm_rh_pial.stl
