idx,f1,intersections,pial-traingles,white-traingles
57,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_214423.pial_converted.stl,9472,322624,322624
58,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_214524.pial_converted.stl,9086,269652,269652
59,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_214625.pial_converted.stl,8216,264440,264440
60,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_214726.pial_converted.stl,10382,265708,265708
61,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_217126.pial_converted.stl,7845,254116,254116
62,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_217429.pial_converted.stl,7991,249968,249968
63,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_220721.pial_converted.stl,8102,271424,271424
64,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_221218.pial_converted.stl,7031,240320,240320
65,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_221319.pial_converted.stl,7676,234452,234452
66,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_223929.pial_converted.stl,9227,357708,357708
67,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_224022.pial_converted.stl,6337,217444,217444
68,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_227432.pial_converted.stl,9044,257412,257412
69,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_228434.pial_converted.stl,8866,234068,234068
70,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_231928.pial_converted.stl,9684,246644,246644
71,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_233326.pial_converted.stl,8831,285108,285108
72,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_236130.pial_converted.stl,7523,258912,258912
73,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_237334.pial_converted.stl,8600,237940,237940
74,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_239944.pial_converted.stl,9855,267568,267568
75,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_245333.pial_converted.stl,9946,241212,241212
76,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_246133.pial_converted.stl,11462,268880,268880
77,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_248339.pial_converted.stl,10051,270500,270500
78,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_249947.pial_converted.stl,9997,257036,257036
79,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_250427.pial_converted.stl,8676,237872,237872
80,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_250932.pial_converted.stl,9371,244684,244684
81,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_251833.pial_converted.stl,8651,289684,289684
82,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_255639.pial_converted.stl,8066,234792,234792
83,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_256540.pial_converted.stl,8068,242876,242876
84,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_257542.pial_converted.stl,9162,268324,268324
85,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_257845.pial_converted.stl,9043,270516,270516
86,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_263436.pial_converted.stl,10353,271736,271736
87,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_268749.pial_converted.stl,9418,303844,303844
89,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_270332.pial_converted.stl,9068,321052,321052
90,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_275645.pial_converted.stl,8599,244880,244880
91,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_280739.pial_converted.stl,8684,234476,234476
92,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_280941.pial_converted.stl,8368,263748,263748
93,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_283543.pial_converted.stl,8986,271092,271092
94,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_284646.pial_converted.stl,8415,253208,253208
95,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_285345.pial_converted.stl,8766,241276,241276
96,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_285446.pial_converted.stl,9843,280984,280984
97,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_286650.pial_converted.stl,10783,280728,280728
98,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_287248.pial_converted.stl,9261,278236,278236
99,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_289555.pial_converted.stl,8503,210500,210500
100,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_290136.pial_converted.stl,9502,275964,275964
101,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_293748.pial_converted.stl,10611,221296,221296
102,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_295146.pial_converted.stl,10348,242044,242044
103,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_297655.pial_converted.stl,7897,211628,211628
104,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_298051.pial_converted.stl,9978,283728,283728
105,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_298455.pial_converted.stl,9183,263472,263472
106,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_299154.pial_converted.stl,9769,289880,289880
