idx,f1,intersections,pial-traingles,white-traingles
32,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/208327_epoch81_struc2_meshpred.ply,1642,84028,84028
33,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/208428_epoch81_struc2_meshpred.ply,1280,84028,84028
34,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/209127_epoch81_struc2_meshpred.ply,1687,84028,84028
35,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/209228_epoch81_struc2_meshpred.ply,1599,84028,84028
36,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/209329_epoch81_struc2_meshpred.ply,1641,84028,84028
37,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/209834_epoch81_struc2_meshpred.ply,1164,84028,84028
38,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/209935_epoch81_struc2_meshpred.ply,1587,84028,84028
39,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/210011_epoch81_struc2_meshpred.ply,1330,84028,84028
40,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/210415_epoch81_struc2_meshpred.ply,1394,84028,84028
41,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/210617_epoch81_struc2_meshpred.ply,1762,84028,84028
42,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/211114_epoch81_struc2_meshpred.ply,1492,84028,84028
43,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/211215_epoch81_struc2_meshpred.ply,1287,84028,84028
44,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/211316_epoch81_struc2_meshpred.ply,1391,84028,84028
45,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/211417_epoch81_struc2_meshpred.ply,1466,84028,84028
46,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/211720_epoch81_struc2_meshpred.ply,1109,84028,84028
47,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/211922_epoch81_struc2_meshpred.ply,1768,84028,84028
48,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/212015_epoch81_struc2_meshpred.ply,1413,84028,84028
49,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/212116_epoch81_struc2_meshpred.ply,1253,84028,84028
50,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/212217_epoch81_struc2_meshpred.ply,1567,84028,84028
51,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/212318_epoch81_struc2_meshpred.ply,1611,84028,84028
