RMS,diag_mesh_0,diag_mesh_1,max,mean,min,n_samples,folder
0.4493122696876526,224.43035888671875,224.56584167594318,5.021756649017334,0.31395748257637024,5.097926418784482e-07,379970,200008
0.5164654850959778,221.71212768554688,221.0709286768712,6.018536567687988,0.35920900106430054,9.317608373748953e-07,379970,200109
0.5507155060768127,228.81028747558594,229.44677100420947,6.399446487426758,0.3384641110897064,5.517182444236823e-07,379970,200210
0.7401257157325745,219.73760986328125,219.72899696312146,7.5814208984375,0.43446069955825806,2.0696056708402466e-06,379970,200311
0.648047149181366,223.1112518310547,224.27721044526862,6.743293762207031,0.387006014585495,7.556835157629394e-07,379970,200614
0.6802098155021667,217.45431518554688,218.66386366954555,14.885209083557129,0.3584643304347992,1.4738185427631834e-06,379970,200917
0.39452341198921204,226.88645935058594,226.47363452819272,3.171469211578369,0.28449100255966187,5.285576207825216e-07,379970,201111
0.620361864566803,222.76036071777344,220.37075217282867,7.3027777671813965,0.37414950132369995,3.984523118560901e-06,379970,201414
0.5227981209754944,225.517333984375,225.65974098579503,6.937449932098389,0.3325200080871582,1.2550417523016222e-06,379970,201515
0.37435007095336914,221.943359375,221.99799209541933,4.053164482116699,0.2708069980144501,3.9816302432882367e-07,379970,201717
0.6668302416801453,223.72781372070312,223.37112250785523,7.67271089553833,0.38994622230529785,1.297091216656554e-06,379970,201818
0.5664902329444885,223.2981414794922,223.29929858624166,7.854334354400635,0.387511670589447,6.171163704493665e-07,379970,202113
0.45596083998680115,224.64109802246094,223.53028763539467,4.00139045715332,0.3300318121910095,1.5462462670257082e-06,379970,202719
0.6398959755897522,217.02088928222656,217.49458126375,7.321008682250977,0.3606918454170227,1.422118430127739e-06,379970,203418
0.7816984057426453,217.62106323242188,217.8900892001039,9.77556037902832,0.393297016620636,3.890347244350778e-08,379970,203721
0.5701647996902466,220.4787139892578,219.97451449674014,15.160543441772461,0.36090871691703796,4.762070602737367e-06,379970,203923
0.5044893026351929,221.32504272460938,221.62029677240392,7.948447227478027,0.32727402448654175,1.3772774991593906e-06,379970,204016
0.540246307849884,221.36819458007812,220.15534057880413,5.600019454956055,0.33173608779907227,4.7765024646651e-06,379970,204319
0.6180013418197632,220.01287841796875,220.20680874879054,10.091958045959473,0.3657172918319702,1.1475039585207014e-08,379970,204420
