Project,subject_id,Hemisphere,Intersections White-Pial,Total Triangles White,Total Triangles Pial,File white,File pial
cortexode,211114,rh,93,237932,238282,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_rk4/cortexode_211114_C_mwrm_rh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_rk4/cortexode_211114_C_mwrm_rh_pial.stl
cortexode,299154,lh,82,257971,258284,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_rk4/cortexode_299154_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_rk4/cortexode_299154_C_mwrm_lh_pial.stl
cortexode,205826,lh,78,244519,246261,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_rk4/cortexode_205826_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_rk4/cortexode_205826_C_mwrm_lh_pial.stl
cortexode,285345,lh,73,212385,213610,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_rk4/cortexode_285345_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_rk4/cortexode_285345_C_mwrm_lh_pial.stl
cortexode,210415,rh,58,197015,197178,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_rk4/cortexode_210415_C_mwrm_rh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_rk4/cortexode_210415_C_mwrm_rh_pial.stl
