project,file_path,subject_id,hemisphere,surface_type,bounding_box_volume,number of standard deviations from mean,group_mean,group_stdev,stl_file_path
cortexode,./cortexode_200311_mw_rh_pial.ply,200311,rh,pial,164207.92434059054,0.33299622565766773,157119.222480024,21287.634256413407,cortexode_200311_C_mwrm_rh_pial.stl
cortexode,./cortexode_298455_mw_lh_pial.ply,298455,lh,pial,89134.29998752891,-2.127307820003122,149360.01579682957,28310.766896542635,cortexode_298455_C_mwrm_lh_pial.stl
cortexode,./cortexode_284646_mw_lh_pial.ply,284646,lh,pial,165624.91699260744,0.5745129142991945,149360.01579682957,28310.766896542635,cortexode_284646_C_mwrm_lh_pial.stl
cortexode,./cortexode_200109_mw_rh_pial.ply,200109,rh,pial,157159.63613389258,0.0018984567933562236,157119.222480024,21287.634256413407,cortexode_200109_C_mwrm_rh_pial.stl
cortexode,./cortexode_201111_mw_rh_pial.ply,201111,rh,pial,211385.8586518974,2.5492093446468473,157119.222480024,21287.634256413407,cortexode_201111_C_mwrm_rh_pial.stl
cortexode,./cortexode_204622_mw_rh_pial.ply,204622,rh,pial,155260.07961130637,-0.08733440486265055,157119.222480024,21287.634256413407,cortexode_204622_C_mwrm_rh_pial.stl
cortexode,./cortexode_201515_mw_rh_pial.ply,201515,rh,pial,166937.32562914028,0.461211566811767,157119.222480024,21287.634256413407,cortexode_201515_C_mwrm_rh_pial.stl
cortexode,./cortexode_205119_mw_rh_pial.ply,205119,rh,pial,180755.92544652932,1.1103489792147379,157119.222480024,21287.634256413407,cortexode_205119_C_mwrm_rh_pial.stl
cortexode,./cortexode_263436_mw_lh_pial.ply,263436,lh,pial,176599.00845084552,0.9621425217323388,149360.01579682957,28310.766896542635,cortexode_263436_C_mwrm_lh_pial.stl
cortexode,./cortexode_283543_mw_lh_pial.ply,283543,lh,pial,150685.97856393264,0.04683598900547639,149360.01579682957,28310.766896542635,cortexode_283543_C_mwrm_lh_pial.stl
cortexode,./cortexode_202719_mw_rh_pial.ply,202719,rh,pial,162579.78029090603,0.2565131355184241,157119.222480024,21287.634256413407,cortexode_202719_C_mwrm_rh_pial.stl
cortexode,./cortexode_201717_mw_rh_pial.ply,201717,rh,pial,156561.13328892694,-0.02621659055087016,157119.222480024,21287.634256413407,cortexode_201717_C_mwrm_rh_pial.stl
cortexode,./cortexode_285446_mw_lh_pial.ply,285446,lh,pial,171772.22220361576,0.7916495688261703,149360.01579682957,28310.766896542635,cortexode_285446_C_mwrm_lh_pial.stl
cortexode,./cortexode_287248_mw_lh_pial.ply,287248,lh,pial,152005.62959143415,0.09344903316369242,149360.01579682957,28310.766896542635,cortexode_287248_C_mwrm_lh_pial.stl
cortexode,./cortexode_290136_mw_lh_pial.ply,290136,lh,pial,168338.17473990336,0.6703512841042623,149360.01579682957,28310.766896542635,cortexode_290136_C_mwrm_lh_pial.stl
cortexode,./cortexode_202113_mw_rh_pial.ply,202113,rh,pial,152199.81622199694,-0.2310922011704979,157119.222480024,21287.634256413407,cortexode_202113_C_mwrm_rh_pial.stl
cortexode,./cortexode_298051_mw_lh_pial.ply,298051,lh,pial,182483.51058666233,1.169996380206778,149360.01579682957,28310.766896542635,cortexode_298051_C_mwrm_lh_pial.stl
cortexode,./cortexode_299154_mw_lh_pial.ply,299154,lh,pial,172942.7118868824,0.8329938986192846,149360.01579682957,28310.766896542635,cortexode_299154_C_mwrm_lh_pial.stl
cortexode,./cortexode_203923_mw_rh_pial.ply,203923,rh,pial,168853.36311358248,0.5512186320104259,157119.222480024,21287.634256413407,cortexode_203923_C_mwrm_rh_pial.stl
cortexode,./cortexode_286650_mw_lh_pial.ply,286650,lh,pial,176829.93066396422,0.9702992139887714,149360.01579682957,28310.766896542635,cortexode_286650_C_mwrm_lh_pial.stl
cortexode,./cortexode_204319_mw_rh_pial.ply,204319,rh,pial,148078.52211985338,-0.42469258214763334,157119.222480024,21287.634256413407,cortexode_204319_C_mwrm_rh_pial.stl
cortexode,./cortexode_268749_mw_lh_pial.ply,268749,lh,pial,174620.12536959213,0.892243917837753,149360.01579682957,28310.766896542635,cortexode_268749_C_mwrm_lh_pial.stl
cortexode,./cortexode_200210_mw_rh_pial.ply,200210,rh,pial,189690.77355053503,1.5300690850932892,157119.222480024,21287.634256413407,cortexode_200210_C_mwrm_rh_pial.stl
cortexode,./cortexode_270332_mw_lh_pial.ply,270332,lh,pial,164303.70040311685,0.5278445709682358,149360.01579682957,28310.766896542635,cortexode_270332_C_mwrm_lh_pial.stl
cortexode,./cortexode_208428_mw_rh_pial.ply,208428,rh,pial,132719.11921661728,-1.146210188013523,157119.222480024,21287.634256413407,cortexode_208428_C_mwrm_rh_pial.stl
