Project,subject_id,Hemisphere,Intersections White-Pial,Total Triangles White,Total Triangles Pial,File white,File pial
vox2cortex,205119,lh,3441,76307,77630,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_205119_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_205119_C_mwrm_lh_pial.stl
vox2cortex,205119,rh,1956,75465,75976,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_205119_C_mwrm_rh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_205119_C_mwrm_rh_pial.stl
vox2cortex,236130,lh,192,77481,78661,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_236130_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_236130_C_mwrm_lh_pial.stl
vox2cortex,212419,lh,168,77485,78308,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_212419_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_212419_C_mwrm_lh_pial.stl
vox2cortex,200109,lh,153,77238,78752,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_200109_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_200109_C_mwrm_lh_pial.stl
